PREDDEG,CONTROL,LOCALE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,PPTUG_EF,INEXPFTE,AVGFACSAL,PCTPELL,PCTFLOAN,CDR2,PAR_ED_PCT_PS,GRAD_DEBT_MDN,MD_FAMINC,MD_EARN_WNE_P6,MD_EARN_WNE_P8,COST
1.0,3.0,13.0,85.0,0.4353,0.0471,0.2353,0.0118,0.0,0.0,0.0,5536.0,4977.028061707935,0.59,0.58,0.118,0.5076923077,7388.0,14913.0,20139.0,21015.0,16199.0
2.0,1.0,13.0,3032.0,0.3503,0.0521,0.503,0.0139,0.0076,0.0033,0.5511,2813.0,6905.0,0.4071,0.0628,0.085,0.5137614679,6750.0,20864.0,31156.0,33311.0,12971.0
1.0,3.0,11.0,60.0,0.15,0.25,0.2,0.0333,0.0667,0.0,0.2333,12266.0,5215.375505511014,0.6849,0.589,0.079,0.4986087924,10667.0,15061.0,20769.0,21823.0,20240.0
1.0,3.0,11.0,383.0,0.4595,0.1253,0.3316,0.0183,0.0183,0.0052,0.5117,5326.0,5411.273106670912,0.4837,0.5248,0.129,0.5113947129,6332.0,23353.0,24338.0,24851.0,19135.0
1.0,1.0,33.0,2942.0,0.6081,0.0197,0.2179,0.0099,0.0704,0.0041,0.6098,6446.0,8325.0,0.1922,0.0,0.0,0.6065292096,11852.341762807446,18854.0,28972.0,33885.0,15230.0
3.0,2.0,41.0,3114.0,0.5768,0.0186,0.1506,0.061,0.0051,0.0051,0.0462,14621.0,9249.0,0.178,0.3495,0.037,0.6445407279,23666.0,38662.0,65864.0,74337.0,58036.0
4.0,2.0,21.0,-4993.531221040662,0.415662719081181,0.10167499514848566,0.2339815975422005,0.043718149404257695,0.043349360516484525,0.007411144924398143,0.10594072678929989,44261.0,4286.0,0.4861711322009519,0.3076869965635979,0.0,0.6604493653674458,10494.82109382007,21772.351281124727,31292.55074238244,31544.87139764156,40689.143070063874
1.0,1.0,21.0,9807.0,0.3556,0.0678,0.4337,0.0458,0.014,0.0018,0.6624,7617.0,10003.0,0.2738,0.0699,0.139,0.470313757,6960.0,22267.0,35302.0,37357.0,16231.0
3.0,3.0,11.0,65147.0,0.4882,0.1528,0.2335,0.0291,0.0089,0.0066,0.6331,2669.0,7083.0,0.4254,0.527,0.125,0.5255919467,22114.0,29879.0,37384.0,37239.0,31440.0
1.0,1.0,11.0,3470.0,0.2628,0.1141,0.5156,0.032,0.0285,0.0035,0.7372,8323.0,9111.0,0.2912,0.1245,0.132,0.4337719298,6750.0,21260.0,37357.0,39516.0,17711.0
1.0,1.0,11.0,11351.0,0.4249,0.0598,0.3509,0.0432,0.0338,0.0036,0.6748,7245.0,9998.0,0.207,0.0735,0.14,0.5421485088,7473.0,22608.5,35136.0,37914.0,17128.0
1.0,1.0,41.0,2791.0,0.6181,0.015,0.2719,0.0147,0.0215,0.0025,0.7818,5774.0,7060.0,0.3359,0.067,0.249,0.4639103013,9700.0,19727.0,30130.0,31335.0,11230.0
